1,USA,2162228,+20004,117858,+331,870050,1174320,16704,6534,356,24794617,74927,330917584
2,Brazil,867882,+17086,43389,+598,437512,386981,8318,4084,204,1499041,7055,212492226
3,Russia,528964,+8835,6948,+119,280050,241966,2300,3625,48,14880172,101967,145931893
4,India,332783,+11157,9520,+321,169689,153574,8944,241,7,5658614,4102,1379381861
5,UK,295889,+1514,41698,+36,N/A,N/A,392,4360,614,6772602,99787,67870494
6,Spain,291008,+323,27136,,N/A,N/A,617,6224,580,4465338,95507,46754035
7,Italy,236989,+338,34345,+44,176370,26274,209,3919,568,4620718,76419,60465391
8,Peru,229736,+4604,6688,+190,115579,107469,1113,6972,203,1360839,41300,32949791
9,Germany,187671,+248,8870,+3,172200,6601,447,2240,106,4694147,56034,83772567
10,Iran,187427,+2472,8837,+107,148674,29916,2781,2233,105,1244074,14821,83941948
11,Turkey,178239,+1562,4807,+15,151417,22015,717,2114,57,2632171,31225,84296986
12,Chile,174293,+6938,3323,+222,143704,27266,1715,9121,174,840150,43967,19108779
13,France,157220,+407,29407,+9,72859,54954,869,2409,451,1384633,21215,65267451
14,Mexico,142690,+3494,16872,+424,104975,20843,378,1107,131,401755,3118,128870121
15,Pakistan,139230,+6825,2632,+81,51735,84863,111,631,12,868565,3936,220673722
16,Saudi Arabia,127541,+4233,972,+40,84720,41849,1855,3666,28,1106398,31805,34787354
17,Canada,98787,+377,8146,+39,60272,30369,1937,2618,216,2152700,57060,37727154
18,Bangladesh,87520,+3141,1171,+32,18730,67619,1,532,7,504465,3065,164613988
19,China,83132,+57,4634,,78369,129,,58,3,,,1439323776
20,Qatar,79602,+1186,73,+3,56898,22631,231,28350,26,290714,103538,2807805
21,South Africa,70038,+4302,1480,+57,38531,30027,208,1182,25,1121958,18929,59273292
22,Belgium,60029,+111,9655,+5,16589,33785,82,5181,833,1024302,88398,11587452
23,Belarus,53973,+732,308,+5,30103,23562,92,5712,33,733788,77654,9449449
24,Sweden,52244,+243,4874,,N/A,N/A,272,5174,483,325000,32189,10096493
25,Colombia,50939,+2193,1667,+75,19822,29450,335,1002,33,495024,9733,50857772
26,Netherlands,48783,+143,6059,+2,N/A,N/A,77,2847,354,455067,26560,17133281
27,Ecuador,46751,+395,3896,+22,23064,19791,230,2652,221,134141,7609,17630006
28,Egypt,44598,+1618,1575,+91,11931,31092,41,436,15,135000,1320,102236605
29,UAE,42294,+304,289,+1,27462,14543,1,4279,29,2626000,265661,9884778
30,Singapore,40604,+407,26,,29589,10989,2,6943,4,488695,83562,5848278
31,Indonesia,38277,+857,2134,+43,14531,21612,,140,8,514287,1881,273389783
32,Portugal,36690,+227,1517,+5,22669,12504,73,3598,149,975737,95680,10197880
33,Kuwait,35920,+454,296,+7,26759,8865,171,8417,69,334612,78409,4267508
34,Argentina,31577,+1282,833,+18,9564,21180,274,699,18,234370,5188,45176887
35,Ukraine,31154,+648,889,+9,14082,16183,314,712,20,489334,11186,43743705
36,Switzerland,31117,+23,1938,,28800,379,15,3597,224,458933,53045,8651801
37,Poland,29392,+375,1247,+10,14226,13919,83,777,33,1188742,31408,37848281
38,Philippines,25930,+538,1088,+14,5954,18888,82,237,10,506626,4626,109511495
39,Ireland,25303,+8,1706,+1,22698,899,28,5127,346,367780,74522,4935217
40,Afghanistan,24766,+664,471,+20,4725,19570,19,637,12,55981,1440,38882182
41,Oman,23481,+1404,104,+5,8454,14923,100,4604,20,139760,27406,5099579
42,Dominican Republic,22962,+390,592,+15,13320,9050,124,2118,55,107175,9884,10842908
43,Romania,21999,+320,1410,+16,15719,4870,165,1143,73,560596,29133,19242506
