Date,daily death,change in daily,total death,change in total death,daily case,change in daily case,total case,change in total case,daily recovery
'Jan. 23',8,0,25,0,56,265,844,0,34
'Jan. 24',16,8,41,16,472,207,1317,472,4
'Jan. 25',15,-1,56,15,698,226,2015,689,11
'Jan. 26',24,9,80,24,785,87,2800,785,2
'Jan. 27',26,2,106,26,1781,996,4581,1781,9
'Jan. 28',26,0,132,26,1477,-304,6058,1477,43
'Jan. 29',38,12,170,38,1755,278,7813,1755,21
'Jan. 30',43,5,213,43,2008,253,9821,2008,47
'Jan. 31',46,3,259,46,2127,119,11948,2127,72
'Feb. 01',45,-1,304,45,2603,476,14551,2603,85
'Feb. 02',58,13,362,58,2838,235,17387,2838,176
'Feb. 03',64,6,426,64,3239,401,20626,3239,139
'Feb. 04',66,2,492,66,3925,686,24553,3925,264
'Feb. 05',73,7,565,73,3723,-202,28276,3723,266
'Feb. 06',73,0,638,73,3163,-560,31439,3163,389
'Feb. 07',86,13,724,86,3437,274,34876,3437,521
'Feb. 08',89,3,813,89,2676,-761,37552,2676,601
'Feb. 09',97,8,910,97,3001,325,40553,3001,639
'Feb. 10',108,11,1018,108,2546,-455,43099,2546,720
'Feb. 11',97,-11,1115,97,2071,-475,45170,2071,760
'Feb. 12',146,49,1261,146,14113,12042,59283,14113,1184,2076
'Feb. 13',122,-24,1383,122,5154,-8959,64437,5154,821
'Feb. 14',143,21,1526,143,2663,-2491,67100,2663,1388
'Feb. 15',143,0,1669,143,2097,-566,69197,2097,1342
'Feb. 16',106,-37,1775,106,2132,35,71329,2132,1435
'Feb. 17',98,-8,1873,98,2003,-129,73332,2003,1739
'Feb. 18',138,38,2009,136,1852,-151,75184,1852,1841
'Feb. 19',117,-19,2126,117,516,-1136,75700,516,1804
'Feb. 20',121,4,2247,121,976,460,76676,976,2167
'Feb. 21',113,-8,2360,113,996,-536,77673,996,2371
'Feb. 22',100,-13,2460,100,978,-18,78651,978,1755
'Feb. 23',158,58,2518,158,749,-229,79400,749,2341
'Feb. 24',81,-77,2699,81,833,279,80088,833,2475
'Feb. 25',64,-17,2763,64,910,28,80997,910,2585
'Feb. 26',37,-26,2801,38,1000,259,81828,1000,2754
'Feb. 27',58,21,2858,58,1283,281,83113,1283,3709
'Feb. 28',65,7,2923,65,1512,229,84624,1511,2910
'Feb. 29',54,-11,2977,54,1989,447,86613,1489,2896
'Mar. 01',74,20,3051,74,1977,-12,88599,1977,2792
'Mar. 02',67,-6,3117,67,1858,-119,90448,1858,2986
'Mar. 03',85,18,3202,85,2572,713,93021,2572,2836
'Mar. 04',83,-2,3285,83,2296,-276,95317,2296,2580
'Mar. 05',102,19,3387,102,3107,809,98417,3107,2081
'Mar. 06',107,5,3494,107,3625,516,102044,98419,2004
'Mar. 07',105,-2,3599,105,4050,425,106099,4050,2563
'Mar. 08',228,123,3827,228,3887,-162,109990,3887,2106
'Mar. 09',198,-30,4025,198,4390,498,114381,4390,1178
'Mar. 10',271,73,4296,271,4567,177,118948,4567,2565
'Mar. 11',332,61,4628,332,7266,2699,126214,7266,1686
'Mar. 12',353,21,4981,353,8362,1096,134576,8362
'Mar. 13',448,95,5429,448,10907,2545,145483,10907
'Mar. 14',404,-44,5833,404,11170,263,156653,11170
'Mar. 15',686,282,6519,686,12940,1770,169593,12940
'Mar. 16',642,-44,7161,642,12897,-43,182490,12897
'Mar. 17',817,175,7978,817,15748,2851,198238,15748
'Mar. 18',973,156,8951,973,20584,4836,218822,20584
'Mar. 19',1080,107,10031,1080,26111,5527,244933,26111
'Mar. 20',1356,276,11387,1356,30664,4553,275597,30664
'Mar, 21',1626,270,13013,1626,29439,-1225,305036,29439
'Mar, 22',1628,2,14641,1628,32453,3014,337489,32453
'Mar, 23',1873,245,16514,1873,41371,8918,378860,41371
