date,daily case,change in case,total case,change in total case
'Feb. 15',0,0,697,0
'Feb. 16',84,84,781,84
'Feb. 17',115,31,896,115
'Feb. 18',103,-12,999,103
'Feb. 19',125,22,1124,125
'Feb. 20',88,-37,1212,88
'Feb. 21',173,85,1385,173
'Feb. 22',330,157,1715,330
'Feb. 23',340,10,2055,340
'Feb. 24',374,34,2429,374
'Feb. 25',335,-39,2764,335
'Feb. 26',559,224,3323,559
'Feb. 27',965,406,4288,965
'Feb. 28',1076,111,5364,1076
'Feb. 29',1416,340,6780,1416
'Mar. 01’,1778,362,8558,1778
'Mar. 02’,1733,-45,10291,1733
'Mar. 03’,2454,721,12745,2454
'Mar. 04’,2164,-290,14909,2164
'Mar. 05’,2968,804,17877,2968
'Mar. 06’,3526,558,21403,3526
'Mar. 07’,4005,479,25408,4005
'Mar. 08’,3852,-153,29260,3852
