စဉ်,နိုင်ငံ,စုစုပေါင်းကူးစက်ဖြစ်စဉ်,ထပ်မံကူးစက်မှုဖြစ်စဉ်,စုစုပေါင်းသေဆုံးမှု,ထပ်မံသေဆုံးမှု,လက်ရှိကူးစက်ထားမှု,ရောဂါပျောက်ကင်းမှု,စိုးရိမ်ရသောအခြေအနေ,ဖြစ်ပွားရာဒေသများ
၁,တရုတ်,၇၉၈၂၈,၅၇၇,၂၈၇၀,၃၅,၃၄၈၄၄,၄၂၁၁၄,၇၃၆၅,အာရှ
၂,တောင်ကိုးရီးယား,၃၇၃၆,၅၈၆,၂၁,၄,၃၆၈၅,၃၀,၁၀,အာရှ
၃,အီတလီ,၁၆၉၄,၅၆၆,၃၄,၅,၁၅၇၇,၈၃,၁၄၀,ဥရောပ
၄,အီရန်,၉၈၇,၃၈၅,၅၄,၁၁,၇၄၉,၁၇၅,၀,အရှေ့အလယ်ပိုင်း
၅,Diamond Princess,၇၀၅,၀,၇,၁,၆၈၈,၁၀,၃၆,အာရှ(ယိုကိုဟားမာဆိပ်ကမ်း) 
၆,ဂျပန်,၂၅၂,၁၁,၆,၁,၂၁၄,၃၂,၁၉,အာရှ
၇,ဂျာမနီ,၁၂၉,၅၀,၀,၀,၁၁၃,၁၆,၂,ဥရောပ
၈,စင်္ကာပူ,၁၀၆,၄,၀,၀,၃၂,၇၄,၇,အရှေ့တောင်အာရှ
၉,ပြင်သစ်,၁၀၄,၄,၂,၀,၉၀,၁၂,၉,ဥရောပ
၁၀,ဟောင်ကောင်,၁၀၀,၅,၂,၀,၆၂,၃၆,၆,အာရှ
၁၁,စပိန်,၇၉,၂၁,၀,၀,၇၇,၂,၃,ဥရောပ
၁၂,အမေရိကန်ပြည်ထောင်စု,၇၁,၃,၁,၀,၆၁,၉,၁,မြောက်အမေရိက
၁၃,ဘာရိန်း,၄၇,၆,၀,၀,၄၇,၀,၀,အရှေ့အလယ်ပိုင်း
၁၄,ကူဝိတ်,၄၆,၁,၀,၀,၄၆,၀,၀,အရှေ့အလယ်ပိုင်း
၁၅,ထိုင်း,၄၂,၀,၁,၁,၁၁,၃၀,၁,အရှေ့တောင်အာရှ
၁၆,ထိုင်ဝမ်,၄၀,၁,၁,၀,၂၇,၁၂,၁,အာရှ
၁၇,ဗြိတိန်,၃၅,၁၂,၀,၀,၂၇,၈,၀,ဥရောပ
၁၈,မလေးရှား,၂၉,၄,၀,၀,၇,၂၂,၀,အရှေ့တောင်အာရှ
၁၉,ဩစတေးလျ,၂၆,၁,၁,၁,၁၀,၁၅,၀,ဩစတေးလျ
၂၀,အာရပ်စော်ဘွားများပြည်ထောင်စု,၂၁,၀,၀,၀,၁၆,၅,၂,အရှေ့တောင်အာရှ
၂၁,ကနေဒါ,၂၀,၀,၀,၀,၁၆,၄,၀,မြောက်အမေရိက
၂၂,အီရတ်,၁၉,၆,၀,၀,၁၉,၀,၀,အရှေ့အလယ်ပိုင်း
၂၃,ဆွတ်ဇာလန်,၁၉,၀,၀,၀,၁၈,၁,၀,ဥရောပ
၂၄,နော်ဝေး,၁၇,၂,၀,၀,၁၇,၀,၀,စကင်ဒီနေးဗီးယန်း
၂၅,ဗီယက်နမ်,၁၆,၀,၀,၀,၀,၁၆,၀,အရှေ့တောင်အာရှ
၂၆,ဩစတြီးယား,၁၄,၄,၀,၀,၁၄,၀,၀,ဥရောပ
၂၇,ဆွီဒင်,၁၃,၀,၀,၀,၁၃,၀,၀,စကင်ဒီနေးဗီးယန်း
၂၈,မကာအို,၁၀,၀,၀,၀,၄,၆,၀,အာရှ
၂၉,လက်ဘနွန်,၁၀,၃,၀,၀,၁၀,၀,၀,အရှေ့အလယ်ပိုင်း
၃၀,နယ်သာလန်,၁၀,၃,၀,၀,၁၀,၀,၁,ဥရောပ
၃၁,ခရိုအေးရှား,၇,၁,၀,၀,၇,၀,၀,ဥရောပ
၃၂,ဂရိ,၇,၀,၀,၀,၇,၀,၀,ဥရောပ
၃၃,အစ္စရေး,၇,၀,၀,၀,၆,၀,၀,အရှေ့အလယ်ပိုင်း
၃၄,ဖင်လန်,၆,၃,၀,၀,၅,၁,၀,ဥရောပ
၃၅,အိုမန်,၆,၀,၀,၀,၅,၀,၀,အရှေ့အလယ်ပိုင်း
၃၆,မက်ဆီကို,၄,၀,၀,၀,၄,၀,၀,မြောက်အမေရိက
၃၇,ပါကစ္စတန်,၄,၀,၀,၀,၄,၀,၀,အရှေ့အလယ်ပိုင်း
၃၈,ဖိလစ်ပိုင်,၃,၀,၁,၀,၀,၂,၀,အရှေ့တောင်အာရှ
၃၉,အဇာဘိုင်ဂျန်,၃,၀,၀,၀,၃,၀,၀,ဥရောပ
၄၀,ချက်,၃,၃,၀,၀,၃,၀,၀,ဥရောပ
၄၁,ဒိန်းမတ်,၃,၀,၀,၀,၃,၀,၀,စကင်ဒီနေးဗီးယန်း
၄၂,ဂျော်ဂျီယာ,၃,၀,၀,၀,၃,၀,၀,ဥရောပ
၄၃,အိန္ဒိယ,၃,၀,၀,၀,၀,၃,၀,အာရှ
၄၄,ကာတာ,၃,၂,၀,၀,၃,၀,၀,အရှေ့အလယ်ပိုင်း
၄၅,ရိုမေးနီးယား,၃,၀,၀,၀,၂,၁,၀,ဥရောပ
၄၆,အယ်ဂျီးနီးယား,၂,၁,၀,၀,၂,၀,၀,အာဖရိက
၄၇,ဘယ်ဂျီယန်,၂,၁,၀,၀,၁,၁,၀,ဥရောပ
၄၈,ဘရာဇီး,၂,၀,၀,၀,၂,၀,၀,တောင်အမေရိက
၄၉,ရုရှ,၂,၀,၀,၀,၀,၂,၀,ဥရောပ
