စဉ်,နိုင်ငံ,စုစုပေါင်းကူးစက်ဖြစ်စဉ်,ထပ်မံကူးစက်မှုဖြစ်စဉ်,စုစုပေါင်းသေဆုံးမှု,ထပ်မံသေဆုံးမှု,ရောဂါပျောက်ကင်းမှု,လက်ရှိကူးစက်ထားမှု,စိုးရိမ်ရသောအခြေအနေ,ဖြစ်ပွားရာဒေသများ
၁,တရုတ်,၈၀၇၀၁,၅၀,၃၀၉၈,၂၈,၅၇၃၃၂,၂၀၂၇၁,၅၂၆၄,အာရှ
၂,တောင်ကိုးရီးယား,၇၃၁၃,၂၇၂,၅၀,၂,၁၃၀,၇၁၃၃,၃၆,အာရှ
၃,အီရန်,၆၅၆၆,၇၄၃,၁၉၄,၄၉,၂၁၃၄,၄၂၃၈,၀,အရှေ့အလယ်ပိုင်း
၄,အီတလီ,၅၈၈၃,၀,၂၃၃,၀,၅၈၉,၅၀၆၁,၅၆၇,ဥရောပ
၅,ဂျာမနီ,၉၅၁,၁၅၁,၀,၀,၁၈,၉၃၃,၉,ဥရောပ
၆,ပြင်သစ်,၉၄၉,၀,၁၆,၀,၁၂,၉၂၁,၄၅,ဥရောပ
၇,Diamond Princess,၆၉၆,၀,၇,၀,၂၄၅,၄၄၄,၃၂,အာရှ(ယိုကိုဟားမာဆိပ်ကမ်း) 
၈,စပိန်,၆၁၃,၈၈,၁၇,၇,၃၀,၅၆၆,၉,ဥရောပ
၉,ဂျပန်,၄၆၁,၀,၆,၀,၇၆,၃၇၉,၂၈,အာရှ
၁၀,အမေရိကန်ပြည်ထောင်စု,၄၄၇,၁၂,၁၉,၀,၁၅,၄၁၃,၈,မြောက်အမေရိက
၁၁,ဆွစ်ဇာလန်,၃၃၆,၆၈,၁,၀,၃,၃၃၂,၀,ဥရောပ
၁၃,နယ်သာလန်,၂၆၅,၇၇,၃,၂,၀,၂၆၂,၁,ဥရောပ
၁၂,ဗြိတိန်,၂၀၉,၀,၂,၀,၁၈,၁၈၉,၀,ဥရောပ
၁၄,ဘယ်ဂျီယန်,၂၀၀,၃၁,၀,၀,၁,၁၉၉,၁,ဥရောပ
၁၅,ဆွီဒင်,၁၆၁,၂၄,၀,၀,၁,၁၆၀,၀,စကင်ဒီနေးဗီးယန်း
၁၇,နော်ဝေး,၁၅၉,၃,၀,၀,၁,၁၅၈,၀,စကင်ဒီနေးဗီးယန်း
၁၆,စင်္ကာပူ,၁၅၀,၁၂,၀,၀,၉၀,၆၀,၉,အရှေ့တောင်အာရှ
၁၈,ဟောင်ကောင်,၁၁၀,၂,၂,၀,၅၅,၅၃,၆,အာရှ
၂၀,ဩစတြီးယား,၁၀၄,၂၃,၀,၀,၂,၁၀၂,၁,ဥရောပ
၁၉,မလေးရှား,၉၉,၆,၀,၀,၂၄,၇၅,၀,အရှေ့တောင်အာရှ
၂၁,ဘာရိန်း,၈၅,၀,၀,၀,၆,၇၉,၀,အရှေ့အလယ်ပိုင်း
၂၂,ဩစတေးလျ,၈၀,၆,၃,၀,၂၂,၅၅,၁,ဩစတေးလျ
၂၇,ဂရိ,၆၆,၀,၀,၀,၀,၆၆,၁,ဥရောပ
၂၃,ကူဝိတ်,၆၂,၁,၀,၀,၁,၆၁,၃,အရှေ့အလယ်ပိုင်း
၂၄,ကနေဒါ,၆၀,၀,၀,၀,၈,၅၂,၁,မြောက်အမေရိက
၂၆,အီရတ်,၅၄,၀,၄,၀,၁,၄၉,၀,အရှေ့အလယ်ပိုင်း
၂၅,ထိုင်း,၅၀,၀,၁,၀,၃၁,၁၈,၁,အရှေ့တောင်အာရှ
၂၉,အိုက်စလန်,၅၀,၀,၀,၀,၁,၄၄,၀,ဥရောပ
၄၃,အီဂျစ်,၄၈,၀,၀,၀,၁,၄၇,၀,အာဖရိက
၂၈,ထိုင်ဝမ်,၄၅,၀,၁,၀,၁၅,၂၉,၁,အာရှ
၃၀,အာရပ်စော်ဘွားများပြည်ထောင်စု,၄၅,၀,၀,၀,၇,၃၈,၂,အရှေ့အလယ်ပိုင်း
၃၁,အိန္ဒိယ,၃၉,၅,၀,၀,၃,၃၆,၀,အာရှ
၃၃,ဆန်မာရီနို,၃၆,၁၀,၁,၀,၀,၃၅,၅,ဥရောပ
၃၂,ဒိန်းမတ်,၃၅,၈,၀,၀,၁,၃၄,၀,စကင်ဒီနေးဗီးယန်း
၃၄,လက်ဘနွန်,၂၈,၀,၀,၀,၁,၂၇,၃,အရှေ့အလယ်ပိုင်း
၃၈,ချက်,၂၆,၀,၀,၀,၀,၂၆,၀,ဥရောပ
၃၅,အစ္စရေး,၂၅,၀,၀,၀,၃,၂၂,၁,အရှေ့အလယ်ပိုင်း
၄၄,ပေါ်တူဂီ,၂၅,၄,၀,၀,၀,၂၅,၀,ဥရောပ
၃၉,ဖင်လန်,၂၃,၄,၀,၀,၁,၂၂,၀,ဥရောပ
၃၆,ဗီယက်နမ်,၂၁,၁,၀,၀,၁၆,၅,၀,အရှေ့တောင်အာရှ
၃၇,အယ်ဂျီးနီးယား,၁၉,၀,၀,၀,၀,၁၉,၀,အာဖရိက
၄၅,ဘရာဇီး,၁၉,၁,၀,၀,၀,၁၉,၀,တောင်အမေရိက
၄၀,အိုင်ယာလန်,၁၉,၀,၀,၀,၀,၁၉,၀,ဥရောပ
၄၂,ပါလက်စတိုင်း,၁၉,၀,၀,၀,၀,၁၉,၀,အရှေ့အလယ်ပိုင်း
